Target_ID,Target_Protein_Name,Domain_ID
Q15649,Zinc finger HIT domain-containing protein 3,PF21373
Q9UDY6,Tripartite motif-containing protein 10,PF13765
Q9UDY6,Tripartite motif-containing protein 10,PF00622
Q9UDY6,Tripartite motif-containing protein 10,PF00643
Q9UDY6,Tripartite motif-containing protein 10,PF00097
P20309,Muscarinic acetylcholine receptor M3,PF00001
Q9GZS0,Dynein axonemal intermediate chain 2,PF00400
Q9Y6E0,Serine/threonine-protein kinase 24,PF20929
Q9Y6E0,Serine/threonine-protein kinase 24,PF00069
Q13133,Oxysterols receptor LXR-alpha,PF00104
Q13133,Oxysterols receptor LXR-alpha,PF00105
O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,PF08763
O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,PF16905
O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,PF00520
Q8WXR4,Myosin-IIIb,PF00612
Q8WXR4,Myosin-IIIb,PF00063
Q8WXR4,Myosin-IIIb,PF00069
Q9R1K9,Centrin-2,PF13499
Q96IQ7,V-set and immunoglobulin domain-containing protein 2,PF13927
Q96IQ7,V-set and immunoglobulin domain-containing protein 2,PF07686
Q6ZWB6,BTB/POZ domain-containing protein KCTD8,PF02214
Q6ZWB6,BTB/POZ domain-containing protein KCTD8,PF23110
P32241,Vasoactive intestinal polypeptide receptor 1,PF00002
P32241,Vasoactive intestinal polypeptide receptor 1,PF02793
Q4G0J3,La-related protein 7,PF05383
Q4G0J3,La-related protein 7,PF00076
Q4G0J3,La-related protein 7,PF08777
Q9BVI4,Nucleolar complex protein 4 homolog,PF03914
Q06187,Tyrosine-protein kinase BTK,PF00779
Q06187,Tyrosine-protein kinase BTK,PF00169
Q06187,Tyrosine-protein kinase BTK,PF07714
Q06187,Tyrosine-protein kinase BTK,PF00017
Q06187,Tyrosine-protein kinase BTK,PF00018
Q96S44,EKC/KEOPS complex subunit TP53RK,PF06293
Q01780,Exosome complex component 10,PF01612
Q01780,Exosome complex component 10,PF00570
Q01780,Exosome complex component 10,PF08066
Q8WY91,Peroxynitrite isomerase THAP4,PF05485
Q8WY91,Peroxynitrite isomerase THAP4,PF08768
Q9Y5Q8,General transcription factor 3C polypeptide 5,PF09734
Q9Y5Q8,General transcription factor 3C polypeptide 5,PF17682
Q149N8,E3 ubiquitin-protein ligase SHPRH,PF00271
Q149N8,E3 ubiquitin-protein ligase SHPRH,PF00538
Q149N8,E3 ubiquitin-protein ligase SHPRH,PF21325
Q149N8,E3 ubiquitin-protein ligase SHPRH,PF21324
Q149N8,E3 ubiquitin-protein ligase SHPRH,PF00176
Q149N8,E3 ubiquitin-protein ligase SHPRH,PF13445
Q8N5G2,Macoilin,PF09726
Q96Q15,Serine/threonine-protein kinase SMG1,PF02260
Q96Q15,Serine/threonine-protein kinase SMG1,PF00454
Q96Q15,Serine/threonine-protein kinase SMG1,PF15785
Q96Q15,Serine/threonine-protein kinase SMG1,PF17229
P49840,Glycogen synthase kinase-3 alpha,PF00069
Q8NFD2,Ankyrin repeat and protein kinase domain-containing protein 1,PF00023
Q8NFD2,Ankyrin repeat and protein kinase domain-containing protein 1,PF12796
Q8NFD2,Ankyrin repeat and protein kinase domain-containing protein 1,PF13637
Q8NFD2,Ankyrin repeat and protein kinase domain-containing protein 1,PF07714
Q96A08,Histone H2B type 1-A,PF00125
Q9UKC9,F-box/LRR-repeat protein 2,PF12937
Q9UKC9,F-box/LRR-repeat protein 2,PF13516
Q06547,GA-binding protein subunit beta-1,PF12796
Q96Q27,Ankyrin repeat and SOCS box protein 2,PF12796
Q96Q27,Ankyrin repeat and SOCS box protein 2,PF13606
Q96Q27,Ankyrin repeat and SOCS box protein 2,PF13637
Q96Q27,Ankyrin repeat and SOCS box protein 2,PF07525
O00167,Protein phosphatase EYA2,PF00702
K9JA46,Epididymis luminal secretory protein 52,PF13589
K9JA46,Epididymis luminal secretory protein 52,PF00183
P16591,Tyrosine-protein kinase Fer,PF00611
P16591,Tyrosine-protein kinase Fer,PF07714
P16591,Tyrosine-protein kinase Fer,PF00017
Q99759,Mitogen-activated protein kinase kinase kinase 3,PF00564
Q99759,Mitogen-activated protein kinase kinase kinase 3,PF00069
Q9H2K8,Serine/threonine-protein kinase TAO3,PF00069
Q99592,Zinc finger and BTB domain-containing protein 18,PF00651
Q99592,Zinc finger and BTB domain-containing protein 18,PF00096
Q99592,Zinc finger and BTB domain-containing protein 18,PF13894
Q9BRX2,Protein pelota homolog,PF03463
Q9BRX2,Protein pelota homolog,PF03464
Q9BRX2,Protein pelota homolog,PF03465
Q9C0K7,STE20-related kinase adapter protein beta,PF00069
P52294,Importin subunit alpha-5,PF00514
P52294,Importin subunit alpha-5,PF16186
P52294,Importin subunit alpha-5,PF01749
Q9UKT7,F-box/LRR-repeat protein 3,PF12937
P46940,Ras GTPase-activating-like protein IQGAP1,PF00307
P46940,Ras GTPase-activating-like protein IQGAP1,PF00612
P46940,Ras GTPase-activating-like protein IQGAP1,PF00616
P46940,Ras GTPase-activating-like protein IQGAP1,PF03836
Q05513,Protein kinase C zeta type,PF00130
Q05513,Protein kinase C zeta type,PF00564
Q05513,Protein kinase C zeta type,PF00069
Q05513,Protein kinase C zeta type,PF00433
Q9Y468,Lethal,PF02820
Q9Y468,Lethal,PF01530
P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",PF00160
Q13418,Scaffold protein ILK,PF12796
Q13418,Scaffold protein ILK,PF07714
Q96SB4,SRSF protein kinase 1,PF00069
Q9C029,E3 ubiquitin-protein ligase TRIM7,PF13765
Q9C029,E3 ubiquitin-protein ligase TRIM7,PF00622
Q9C029,E3 ubiquitin-protein ligase TRIM7,PF00643
Q9C029,E3 ubiquitin-protein ligase TRIM7,PF15227
Q9NY57,Serine/threonine-protein kinase 32B,PF00069
Q9Y5Y3,Probable G-protein coupled receptor 45,PF00001
Q6FHF7,Geranylgeranyl transferase type-2 subunit alpha,PF00560
Q6FHF7,Geranylgeranyl transferase type-2 subunit alpha,PF01239
Q6FHF7,Geranylgeranyl transferase type-2 subunit alpha,PF07711
Q9Y266,Nuclear migration protein nudC,PF04969
Q9Y266,Nuclear migration protein nudC,PF16273
Q9Y266,Nuclear migration protein nudC,PF14050
P52803,Ephrin-A5,PF00812
O14842,Free fatty acid receptor 1,PF00001
P12544,Granzyme A,PF00089
Q16531,DNA damage-binding protein 1,PF10433
Q16531,DNA damage-binding protein 1,PF23726
Q16531,DNA damage-binding protein 1,PF03178
Q9P253,Vacuolar protein sorting-associated protein 18 homolog,PF05131
Q9UNF1,Melanoma-associated antigen D2,PF01454
P11021,Endoplasmic reticulum chaperone BiP,PF00012
Q96P16,Regulation of nuclear pre-mRNA domain-containing protein 1A,PF04818
Q96P16,Regulation of nuclear pre-mRNA domain-containing protein 1A,PF16566
O75150,E3 ubiquitin-protein ligase BRE1B,PF00097
Q99973,Telomerase protein component 1,PF25047
Q99973,Telomerase protein component 1,PF25048
Q99973,Telomerase protein component 1,PF13271
Q99973,Telomerase protein component 1,PF19334
Q99973,Telomerase protein component 1,PF05729
Q99973,Telomerase protein component 1,PF05386
Q99973,Telomerase protein component 1,PF05731
Q99973,Telomerase protein component 1,PF00400
Q9Y230,RuvB-like 2,PF06068
Q9Y230,RuvB-like 2,PF17856
Q9Y467,Sal-like protein 2,PF00096
Q9Y467,Sal-like protein 2,PF13912
Q6NZI2,Caveolae-associated protein 1,PF15237
Q9UQM7,Calcium/calmodulin-dependent protein kinase type II subunit alpha,PF08332
Q9UQM7,Calcium/calmodulin-dependent protein kinase type II subunit alpha,PF00069
P05771,Protein kinase C beta type,PF00130
P05771,Protein kinase C beta type,PF00168
P05771,Protein kinase C beta type,PF00069
P05771,Protein kinase C beta type,PF00433
Q14807,Kinesin-like protein KIF22,PF12836
Q14807,Kinesin-like protein KIF22,PF00225
Q7KZ85,Transcription elongation factor SPT6,PF14635
Q7KZ85,Transcription elongation factor SPT6,PF17674
Q7KZ85,Transcription elongation factor SPT6,PF14641
Q7KZ85,Transcription elongation factor SPT6,PF00575
Q7KZ85,Transcription elongation factor SPT6,PF14633
Q7KZ85,Transcription elongation factor SPT6,PF14632
Q7KZ85,Transcription elongation factor SPT6,PF22706
Q7KZ85,Transcription elongation factor SPT6,PF14639
Q9D0T1,NHP2-like protein 1,PF01248
Q8IYA7,Homeobox protein Mohawk,PF05920
O75469,Nuclear receptor subfamily 1 group I member 2,PF00104
O75469,Nuclear receptor subfamily 1 group I member 2,PF00105
P23458,Tyrosine-protein kinase JAK1,PF18379
P23458,Tyrosine-protein kinase JAK1,PF18377
P23458,Tyrosine-protein kinase JAK1,PF17887
P23458,Tyrosine-protein kinase JAK1,PF07714
P23458,Tyrosine-protein kinase JAK1,PF21990
Q9UBN1,Voltage-dependent calcium channel gamma-4 subunit,PF00822
P12524,Protein L-Myc,PF00010
P12524,Protein L-Myc,PF01056
Q8IYT8,Serine/threonine-protein kinase ULK2,PF12063
Q8IYT8,Serine/threonine-protein kinase ULK2,PF21127
Q8IYT8,Serine/threonine-protein kinase ULK2,PF00069
Q9NYY8,"FAST kinase domain-containing protein 2, mitochondrial",PF06743
Q9NYY8,"FAST kinase domain-containing protein 2, mitochondrial",PF08368
Q9NYY8,"FAST kinase domain-containing protein 2, mitochondrial",PF08373
Q9UJ41,Rab5 GDP/GTP exchange factor,PF18151
Q9UJ41,Rab5 GDP/GTP exchange factor,PF02204
Q9UJ41,Rab5 GDP/GTP exchange factor,PF01754
P11473,Vitamin D3 receptor,PF00104
P11473,Vitamin D3 receptor,PF00105
P19784,Casein kinase II subunit alpha',PF00069
P36894,Bone morphogenetic protein receptor type-1A,PF01064
P36894,Bone morphogenetic protein receptor type-1A,PF00069
P36894,Bone morphogenetic protein receptor type-1A,PF08515
Q00534,Cyclin-dependent kinase 6,PF00069
Q53F19,Nuclear cap-binding protein subunit 3,PF10309
Q9C086,INO80 complex subunit B,PF04795
Q9C086,INO80 complex subunit B,PF04438
Q9HBG6,Intraflagellar transport protein 122 homolog,PF23381
Q9HBG6,Intraflagellar transport protein 122 homolog,PF23377
Q9HBG6,Intraflagellar transport protein 122 homolog,PF25295
Q9HBG6,Intraflagellar transport protein 122 homolog,PF25144
Q9HBG6,Intraflagellar transport protein 122 homolog,PF25143
Q96RG2,PAS domain-containing serine/threonine-protein kinase,PF13426
Q96RG2,PAS domain-containing serine/threonine-protein kinase,PF00069
P35579,Myosin-9,PF00063
P35579,Myosin-9,PF02736
P35579,Myosin-9,PF01576
P22736,Nuclear receptor subfamily 4immunitygroup A member 1,PF00104
P22736,Nuclear receptor subfamily 4immunitygroup A member 1,PF00105
Q14680,Maternal embryonic leucine zipper kinase,PF02149
Q14680,Maternal embryonic leucine zipper kinase,PF00069
Q14680,Maternal embryonic leucine zipper kinase,PF21594
Q86SX3,Tubulin epsilon and delta complex protein 1,PF14970
P59633,ORF3b protein,PF12383
P46109,Crk-like protein,PF00017
P46109,Crk-like protein,PF00018
P46109,Crk-like protein,PF07653
P62280,Small ribosomal subunit protein uS17,PF00366
P62280,Small ribosomal subunit protein uS17,PF16205
P14316,Interferon regulatory factor 2,PF00605
P32119,Peroxiredoxin-2,PF10417
P32119,Peroxiredoxin-2,PF00578
P49802,Regulator of G-protein signaling 7,PF00610
P49802,Regulator of G-protein signaling 7,PF00631
P49802,Regulator of G-protein signaling 7,PF00615
P49802,Regulator of G-protein signaling 7,PF18148
Q9HCU9,Breast cancer metastasis-suppressor 1,PF08598
O43557,Tumor necrosis factor ligand superfamily member 14,PF00229
P22830,"Ferrochelatase, mitochondrial",PF00762
P35610,Sterol O-acyltransferase 1,PF03062
Q8TDB4,Protein MGARP,PF14962
Q08380,Galectin-3-binding protein,PF07707
Q08380,Galectin-3-binding protein,PF00530
Q9UK96,F-box only protein 10,PF13229
Q9UK96,F-box only protein 10,PF12937
Q9UK96,F-box only protein 10,PF05048
Q9Y4E5,E3 SUMO-protein ligase ZNF451,PF18479
Q9Y4E5,E3 SUMO-protein ligase ZNF451,PF23108
Q9Y4E5,E3 SUMO-protein ligase ZNF451,PF23101
Q9Y4E5,E3 SUMO-protein ligase ZNF451,PF23102
Q9Y4E5,E3 SUMO-protein ligase ZNF451,PF23103
Q9Y4E5,E3 SUMO-protein ligase ZNF451,PF23104
Q9Y4E5,E3 SUMO-protein ligase ZNF451,PF23107
P30793,GTP cyclohydrolase 1,PF01227
Q9H0A6,RING finger protein 32,PF00612
Q9H0A6,RING finger protein 32,PF13639
Q9H0A6,RING finger protein 32,PF13445
Q9UJX6,Anaphase-promoting complex subunit 2,PF08672
Q9UJX6,Anaphase-promoting complex subunit 2,PF00888
Q9NQB0,Transcription factor 7-like 2,PF08347
Q9NQB0,Transcription factor 7-like 2,PF00505
Q6ZSB9,Zinc finger and BTB domain-containing protein 49,PF00651
Q6ZSB9,Zinc finger and BTB domain-containing protein 49,PF00096
Q6ZSB9,Zinc finger and BTB domain-containing protein 49,PF13912
Q6QEF8,Coronin-6,PF08953
Q6QEF8,Coronin-6,PF00400
Q6QEF8,Coronin-6,PF16300
Q86XI8,Uncharacterized protein ZSWIM9,PF17738
Q86XI8,Uncharacterized protein ZSWIM9,PF20784
Q86XI8,Uncharacterized protein ZSWIM9,PF20783
Q13470,Non-receptor tyrosine-protein kinase TNK1,PF07714
Q13470,Non-receptor tyrosine-protein kinase TNK1,PF22931
Q14738,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,PF01603
Q86VX9,Vacuolar fusion protein MON1 homolog A,PF19036
Q86VX9,Vacuolar fusion protein MON1 homolog A,PF19037
Q86VX9,Vacuolar fusion protein MON1 homolog A,PF19038
P19388,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",PF01191
P19388,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",PF03871
Q9BT49,THAP domain-containing protein 7,PF05485
P54646,5'-AMP-activated protein kinase catalytic subunit alpha-2,PF16579
P54646,5'-AMP-activated protein kinase catalytic subunit alpha-2,PF21147
P54646,5'-AMP-activated protein kinase catalytic subunit alpha-2,PF00069
Q13077,TNF receptor-associated factor 1,PF21355
Q13077,TNF receptor-associated factor 1,PF16673
Q9H6R7,WD repeat and coiled-coil-containing protein,PF15390
Q9UL42,Paraneoplastic antigen Ma2,PF14893
Q9UL42,Paraneoplastic antigen Ma2,PF20846
P21462,fMet-Leu-Phe receptor,PF00001
P22392,Nucleoside diphosphate kinase B,PF00334
Q02763,Angiopoietin-1 receptor,PF00041
Q02763,Angiopoietin-1 receptor,PF10430
Q02763,Angiopoietin-1 receptor,PF07714
Q5H9I0,Transcription factor Dp family member 3,PF08781
Q5H9I0,Transcription factor Dp family member 3,PF02319
Q9BWU1,Cyclin-dependent kinase 19,PF00069
Q9H9G7,Protein argonaute-3,PF08699
Q9H9G7,Protein argonaute-3,PF16488
Q9H9G7,Protein argonaute-3,PF16487
Q9H9G7,Protein argonaute-3,PF16486
Q9H9G7,Protein argonaute-3,PF02170
Q9H9G7,Protein argonaute-3,PF02171
Q9Y5K5,Ubiquitin carboxyl-terminal hydrolase isozyme L5,PF01088
Q9Y5K5,Ubiquitin carboxyl-terminal hydrolase isozyme L5,PF18031
Q9H257,Caspase recruitment domain-containing protein 9,PF00619
P12792,Non-structural protein NS-S,PF11073
A0A3N4B418,Uncharacterized protein,PF13371
A0A3N4B418,Uncharacterized protein,PF13369
Q8ND04,Nonsense-mediated mRNA decay factor SMG8,PF10220
P56539,Caveolin-3,PF01146
Q32MZ4,Leucine-rich repeat flightless-interacting protein 1,PF09738
Q6J9G0,Tyrosine-protein kinase STYK1,PF07714
P37840,Alpha-synuclein,PF01387
Q66K74,Microtubule-associated protein 1S,PF23415
Q66K74,Microtubule-associated protein 1S,PF25281
Q8N1G2,Cap-specific mRNA,PF01728
Q8N1G2,Cap-specific mRNA,PF01585
Q8N257,Histone H2B type 3-B,PF00125
Q9ULM6,CCR4-NOT transcription complex subunit 6,PF03372
Q9ULM6,CCR4-NOT transcription complex subunit 6,PF13855
Q14344,Guanine nucleotide-binding protein subunit alpha-13,PF00503
O95433,Activator of 90 kDa heat shock protein ATPase homolog 1,PF09229
O95433,Activator of 90 kDa heat shock protein ATPase homolog 1,PF08327
Q99698,Lysosomal-trafficking regulator,PF02138
Q99698,Lysosomal-trafficking regulator,PF14844
Q99698,Lysosomal-trafficking regulator,PF00400
Q92597,Protein NDRG1,PF03096
P02751,Fibronectin,PF00039
P02751,Fibronectin,PF00040
P02751,Fibronectin,PF00041
P60122,RuvB-like 1,PF06068
P60122,RuvB-like 1,PF17856
Q5MAI5,Cyclin-dependent kinase-like 4,PF00069
Q8IV38,Ankyrin repeat and MYND domain-containing protein 2,PF12796
Q8IV38,Ankyrin repeat and MYND domain-containing protein 2,PF01753
Q9H1Z4,WD repeat-containing protein 13,PF00400
Q8ZHG7,S-adenosylmethionine synthase,PF02773
Q8ZHG7,S-adenosylmethionine synthase,PF02772
Q8ZHG7,S-adenosylmethionine synthase,PF00438
O15259,Nephrocystin-1,PF00018
Q86WA6,Serine hydrolase BPHL,PF00561
P05109,Protein S100-A8,PF01023
P23946,Chymase,PF00089
Q92905,COP9 signalosome complex subunit 5,PF18323
Q92905,COP9 signalosome complex subunit 5,PF01398
Q9UQC2,GRB2-associated-binding protein 2,PF00169
Q16566,Calcium/calmodulin-dependent protein kinase type IV,PF00069
P36873,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,PF00149
P36873,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,PF16891
Q13099,Intraflagellar transport protein 88 homolog,PF13424
Q13099,Intraflagellar transport protein 88 homolog,PF13432
Q13099,Intraflagellar transport protein 88 homolog,PF13174
Q13099,Intraflagellar transport protein 88 homolog,PF13181
Q96BR1,Serine/threonine-protein kinase Sgk3,PF00069
Q96BR1,Serine/threonine-protein kinase Sgk3,PF00433
Q96BR1,Serine/threonine-protein kinase Sgk3,PF00787
Q9NR20,Dual specificity tyrosine-phosphorylation-regulated kinase 4,PF00069
Q9H4L5,Oxysterol-binding protein-related protein 3,PF01237
Q9H4L5,Oxysterol-binding protein-related protein 3,PF15409
Q8TCY9,Up-regulator of cell proliferation,PF25496
Q9Y2K2,Serine/threonine-protein kinase SIK3,PF00069
Q9Y2K2,Serine/threonine-protein kinase SIK3,PF23312
Q6PHR2,Serine/threonine-protein kinase ULK3,PF04212
Q6PHR2,Serine/threonine-protein kinase ULK3,PF00069
P49023,Paxillin,PF00412
P49023,Paxillin,PF03535
P43034,Platelet-activating factor acetylhydrolase IB subunit beta,PF24951
P43034,Platelet-activating factor acetylhydrolase IB subunit beta,PF00400
P35590,Tyrosine-protein kinase receptor Tie-1,PF00041
P35590,Tyrosine-protein kinase receptor Tie-1,PF00047
P35590,Tyrosine-protein kinase receptor Tie-1,PF07714
Q8TCW9,Prokineticin receptor 1,PF00001
Q8D1L5,2-component regulator,PF13541
Q8D1L5,2-component regulator,PF01078
Q8D1L5,2-component regulator,PF13335
P09936,Ubiquitin carboxyl-terminal hydrolase isozyme L1,PF01088
P18074,General transcription and DNA repair factor IIH helicase subunit XPD,PF06733
P18074,General transcription and DNA repair factor IIH helicase subunit XPD,PF06777
P18074,General transcription and DNA repair factor IIH helicase subunit XPD,PF13307
Q13509,Tubulin beta-3 chain,PF00091
Q13509,Tubulin beta-3 chain,PF03953
Q8NA61,Protein chibby homolog 2,PF14645
P31946,14-3-3 protein beta/alpha,PF00244
P49005,DNA polymerase delta subunit 2,PF18018
P49005,DNA polymerase delta subunit 2,PF04042
Q15047,Histone-lysine N-methyltransferase SETDB1,PF18300
Q15047,Histone-lysine N-methyltransferase SETDB1,PF01429
Q15047,Histone-lysine N-methyltransferase SETDB1,PF05033
Q15047,Histone-lysine N-methyltransferase SETDB1,PF00856
Q15047,Histone-lysine N-methyltransferase SETDB1,PF18358
Q15047,Histone-lysine N-methyltransferase SETDB1,PF18359
P24723,Protein kinase C eta type,PF00130
P24723,Protein kinase C eta type,PF00168
P24723,Protein kinase C eta type,PF00069
P24723,Protein kinase C eta type,PF00433
Q9C040,Tripartite motif-containing protein 2,PF00630
Q9C040,Tripartite motif-containing protein 2,PF01436
Q9C040,Tripartite motif-containing protein 2,PF00643
Q9C040,Tripartite motif-containing protein 2,PF13445
O94826,Mitochondrial import receptor subunit TOM70,PF00515
O94826,Mitochondrial import receptor subunit TOM70,PF13181
P16104,Histone H2AX,PF00125
P16104,Histone H2AX,PF16211
Q70EL2,Ubiquitin carboxyl-terminal hydrolase 45,PF00443
Q70EL2,Ubiquitin carboxyl-terminal hydrolase 45,PF02148
Q86UX6,Serine/threonine-protein kinase 32C,PF00069
Q9BVC4,Target of rapamycin complex subunit LST8,PF00400
Q9UGC7,"Peptide chain release factor 1-like, mitochondrial",PF03462
Q9UGC7,"Peptide chain release factor 1-like, mitochondrial",PF00472
P36895,Bone morphogenetic protein receptor type-1A,PF01064
P36895,Bone morphogenetic protein receptor type-1A,PF00069
P36895,Bone morphogenetic protein receptor type-1A,PF08515
Q9BXA9,Sal-like protein 3,PF00096
Q9BXA9,Sal-like protein 3,PF12874
O60739,Eukaryotic translation initiation factor 1b,PF01253
A0A3N4B4B5,Single-stranded-DNA-specific exonuclease RecJ,PF01368
A0A3N4B4B5,Single-stranded-DNA-specific exonuclease RecJ,PF02272
A0A3N4B4B5,Single-stranded-DNA-specific exonuclease RecJ,PF17768
Q15077,P2Y purinoceptor 6,PF00001
Q6EMB2,Tubulin polyglutamylase TTLL5,PF03133
Q8NI36,WD repeat-containing protein 36,PF25171
Q8NI36,WD repeat-containing protein 36,PF25168
Q8NI36,WD repeat-containing protein 36,PF04192
Q14204,Cytoplasmic dynein 1 heavy chain 1,PF12774
Q14204,Cytoplasmic dynein 1 heavy chain 1,PF12775
Q14204,Cytoplasmic dynein 1 heavy chain 1,PF12780
Q14204,Cytoplasmic dynein 1 heavy chain 1,PF12781
Q14204,Cytoplasmic dynein 1 heavy chain 1,PF18198
Q14204,Cytoplasmic dynein 1 heavy chain 1,PF08385
Q14204,Cytoplasmic dynein 1 heavy chain 1,PF08393
Q14204,Cytoplasmic dynein 1 heavy chain 1,PF22597
Q14204,Cytoplasmic dynein 1 heavy chain 1,PF17852
Q14204,Cytoplasmic dynein 1 heavy chain 1,PF18199
Q14204,Cytoplasmic dynein 1 heavy chain 1,PF03028
Q14204,Cytoplasmic dynein 1 heavy chain 1,PF12777
P05129,Protein kinase C gamma type,PF00130
P05129,Protein kinase C gamma type,PF00168
P05129,Protein kinase C gamma type,PF00069
P05129,Protein kinase C gamma type,PF00433
Q9Y6W3,Calpain-7,PF01067
Q9Y6W3,Calpain-7,PF04212
Q9Y6W3,Calpain-7,PF00648
O75368,Adapter SH3BGRL,PF04908
Q8N4N3,Kelch-like protein 36,PF07707
Q8N4N3,Kelch-like protein 36,PF00651
Q8N4N3,Kelch-like protein 36,PF01344
Q8N4N3,Kelch-like protein 36,PF24681
Q8TF76,Serine/threonine-protein kinase haspin,PF12330
Q9NUY8,TBC1 domain family member 23,PF00566
Q9NUY8,TBC1 domain family member 23,PF00581
Q9NUY8,TBC1 domain family member 23,PF19430
Q9UPZ9,Serine/threonine-protein kinase ICK,PF00069
P15531,Nucleoside diphosphate kinase A,PF00334
Q13829,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2,PF02214
Q96SI1,BTB/POZ domain-containing protein KCTD15,PF02214
Q96SI1,BTB/POZ domain-containing protein KCTD15,PF20871
Q8N1W1,Rho guanine nucleotide exchange factor 28,PF00130
Q8N1W1,Rho guanine nucleotide exchange factor 28,PF17838
Q8N1W1,Rho guanine nucleotide exchange factor 28,PF00621
Q96JG8,Melanoma-associated antigen D4,PF01454
Q8N5M4,Tetratricopeptide repeat protein 9C,PF14559
Q8IXQ4,GPALPP motifs-containing protein 1,PF12572
Q8ZBP8,tRNA pseudouridine synthase D,PF01142
B2RB89,cAMP-dependent protein kinase,PF00069
O75888,Tumor necrosis factor ligand superfamily member 13,PF00229
P31321,cAMP-dependent protein kinase type I-beta regulatory subunit,PF00027
P31321,cAMP-dependent protein kinase type I-beta regulatory subunit,PF02197
Q12906,Interleukin enhancer-binding factor 3,PF00035
Q12906,Interleukin enhancer-binding factor 3,PF20965
Q12906,Interleukin enhancer-binding factor 3,PF07528
P07947,Tyrosine-protein kinase Yes,PF07714
P07947,Tyrosine-protein kinase Yes,PF00017
P07947,Tyrosine-protein kinase Yes,PF00018
P08069,Insulin-like growth factor 1 receptor,PF00757
P08069,Insulin-like growth factor 1 receptor,PF07714
P08069,Insulin-like growth factor 1 receptor,PF01030
Q01546,"Keratin, type II cytoskeletal 2 oral",PF00038
Q01546,"Keratin, type II cytoskeletal 2 oral",PF16208
Q8WV44,E3 ubiquitin-protein ligase TRIM41,PF13765
Q8WV44,E3 ubiquitin-protein ligase TRIM41,PF00622
Q8WV44,E3 ubiquitin-protein ligase TRIM41,PF00643
Q8WV44,E3 ubiquitin-protein ligase TRIM41,PF15227
Q9UMW8,Ubl carboxyl-terminal hydrolase 18,PF00443
P19086,Guanine nucleotide-binding protein G,PF00503
P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",PF07992
P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",PF02852
P78369,Claudin-10,PF00822
Q9UBP0,Spastin,PF00004
Q9UBP0,Spastin,PF17862
Q9UBP0,Spastin,PF09336
Q96PH1,NADPH oxidase 5,PF13202
Q96PH1,NADPH oxidase 5,PF13405
Q96PH1,NADPH oxidase 5,PF08022
Q96PH1,NADPH oxidase 5,PF01794
Q96PH1,NADPH oxidase 5,PF08030
Q8NER5,Activin receptor type-1C,PF01064
Q8NER5,Activin receptor type-1C,PF07714
Q8NER5,Activin receptor type-1C,PF08515
Q9H9T3,Elongator complex protein 3,PF23613
Q9H9T3,Elongator complex protein 3,PF04055
Q9H9T3,Elongator complex protein 3,PF16199
Q5H9U9,Probable ATP-dependent RNA helicase DDX60-like,PF00270
Q5H9U9,Probable ATP-dependent RNA helicase DDX60-like,PF00271
Q5H9U9,Probable ATP-dependent RNA helicase DDX60-like,PF23002
Q9NSY0,Nuclear receptor-binding protein 2,PF00069
Q8N812,Uncharacterized protein C12orf76,PF17695
Q16849,Receptor-type tyrosine-protein phosphatase-like N,PF11548
Q16849,Receptor-type tyrosine-protein phosphatase-like N,PF14948
Q16849,Receptor-type tyrosine-protein phosphatase-like N,PF00102
Q3KNV8,Polycomb group RING finger protein 3,PF16207
Q3KNV8,Polycomb group RING finger protein 3,PF13923
Q8IZU0,Protein FAM9B,PF04803
Q9H0R8,Gamma-aminobutyric acid receptor-associated protein-like 1,PF02991
Q9UGR2,Zinc finger CCCH domain-containing protein 7B,PF13181
Q9UGR2,Zinc finger CCCH domain-containing protein 7B,PF00642
Q9Y616,Interleukin-1 receptor-associated kinase 3,PF00531
Q9Y616,Interleukin-1 receptor-associated kinase 3,PF00069
Q8WTQ7,Rhodopsin kinase GRK7,PF00069
Q8WTQ7,Rhodopsin kinase GRK7,PF00615
Q9NV06,DDB1- and CUL4-associated factor 13,PF04158
Q9NV06,DDB1- and CUL4-associated factor 13,PF00400
P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,PF02985
P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,PF13646
P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,PF22646
P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",PF00675
P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",PF05193
Q6JEL2,Kelch-like protein 10,PF07707
Q6JEL2,Kelch-like protein 10,PF00651
Q6JEL2,Kelch-like protein 10,PF01344
